id,movies_id,genres_id
1,1,1
2,2,2
3,2,3
4,3,4
5,3,5
6,4,6
7,4,7
8,5,6
9,6,8
10,6,9
11,6,3
12,6,10
13,7,11
14,7,12
15,8,12
16,8,13
17,8,10
18,9,14
19,9,7
20,9,6
21,10,3
22,10,9
23,10,8
24,11,1
25,11,3
26,11,15
27,12,6
28,12,1
29,12,2
30,12,7
31,13,16
32,13,1
33,13,13
34,14,12
35,15,9
36,16,2
37,16,3
38,17,16
39,17,1
40,18,15
41,18,1
42,19,15
43,19,4
44,19,16
45,19,13
46,20,12
47,20,10
48,20,6
49,21,9
50,21,13
51,21,10
52,21,16
53,22,6
54,23,1
55,23,6
56,24,11
57,25,1
58,25,12
59,25,10
60,26,3
61,26,1
62,26,2
63,27,6
64,27,7
65,28,1
66,28,11
67,29,6
68,29,2
69,30,9
70,30,11
71,30,12
72,31,12
73,31,10
74,32,14
75,33,1
76,33,13
77,33,10
78,34,2
79,34,17
80,34,6
81,34,1
82,35,4
83,36,9
84,36,10
85,37,6
86,37,13
87,38,6
88,39,6
89,40,10
90,40,12
91,40,16
92,40,13
93,40,11
94,41,9
95,41,17
96,41,3
97,41,16
98,41,8
99,42,14
100,43,6
101,43,8
102,44,4
103,45,9
104,45,3
105,46,4
106,47,10
107,47,13
108,48,14
109,49,12
110,49,6
111,49,7
112,50,1
113,51,9
114,51,3
115,51,16
116,51,13
117,52,9
118,52,6
119,52,16
120,53,4
121,54,4
122,55,6
123,55,7
124,55,1
125,56,4
126,57,12
127,57,10
128,57,6
129,58,12
130,58,6
131,59,4
132,60,7
133,60,1
134,60,14
135,61,1
136,61,12
137,61,10
138,62,1
139,62,3
140,63,6
141,63,1
142,63,13
143,63,8
144,64,1
145,64,7
146,65,1
147,65,15
148,66,10
149,66,12
150,66,13
151,67,12
152,68,3
153,68,9
154,68,10
155,68,8
156,69,6
157,70,1
158,70,14
159,71,1
160,71,10
161,72,6
162,72,1
163,72,7
164,73,7
165,73,1
166,74,11
167,74,1
168,74,6
169,75,1
170,75,9
171,76,3
172,76,1
173,76,14
174,77,1
175,77,7
176,78,7
177,78,1
178,78,2
179,79,6
180,79,3
181,80,7
182,80,6
183,80,1
184,81,1
185,81,7
186,82,4
187,83,9
188,83,10
189,84,1
190,84,15
191,84,18
192,85,12
193,85,8
194,85,10
195,86,1
196,86,4
197,87,12
198,87,8
199,87,9
200,88,6
201,88,3
202,88,1
203,89,1
204,89,6
205,90,1
206,91,4
207,92,14
208,92,4
209,93,9
210,93,8
211,94,6
212,94,12
213,94,11
214,95,17
215,95,2
216,95,3
217,96,10
218,96,9
219,96,16
220,97,10
221,98,6
222,98,10
223,98,9
224,98,1
225,99,1
226,100,4
